screen,control,expected_behavior,actual_result,status,severity,exact_fix_location,evidence_source,app,role,locale,layout,viewport,control_type
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: (event) => addFiles(event.target.files),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:386,static-control,dashboard,,,,,input
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => fileInputRef.current?.click(),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:394,static-control,dashboard,,,,,button
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setShowMoreFormats((value) => !value),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:417,static-control,dashboard,,,,,button
components/ImportCenter,`Remove ${file.name}`,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => removeFile(signature),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:447,static-control,dashboard,,,,,button
components/ImportCenter,Review before adding,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setDestination('review'),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:470,static-control,dashboard,,,,,DestinationOption
components/ImportCenter,Add directly to a role,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setDestination('role'),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:476,static-control,dashboard,,,,,DestinationOption
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: (event) => setDefaultPosition(event.target.value),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:485,static-control,dashboard,,,,,Select
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: (event) => setSource(event.target.value),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:501,static-control,dashboard,,,,,Select
components/ImportCenter,Advanced options,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setShowAdvanced((value) => !value),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:512,static-control,dashboard,,,,,button
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: (event) => setMetadataFile(event.target.files?.[0] || null),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:523,static-control,dashboard,,,,,input
components/ImportCenter,Cancel,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: closeModal,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:539,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: runImport,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:540,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: onClick,unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:572,static-control,dashboard,,,,,button
components/ImportCenter,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setCollapsed((value) => !value),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:814,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: () => toggleGroup(group),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:841,static-control,dashboard,,,,,input
components/ImportCenter,Confirm as,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void runAction(group, 'confirm')",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:853,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,"Static binding: (event) => setAssignDraft((current) => ({ ...current, [group.key]: event.target.value }))",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:863,static-control,dashboard,,,,,Select
components/ImportCenter,Assign,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void runAction(group, 'assign')",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:875,static-control,dashboard,,,,,Button
components/ImportCenter,Archive,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => void runAction(group, 'archive')",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:885,static-control,dashboard,,,,,Button
components/ImportCenter,(dynamic/unnamed),Update controlled value/filter and refresh dependent state.,Static binding: () => toggleItem(item.app_key),unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:900,static-control,dashboard,,,,,input
components/ImportCenter,`Preview CV for ${item.candidate_name || item.original_filename || 'this candidate'}`,Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: (event) => {
                          event.preventDefault()
                          event.stopPropagation()
                          void handlePreview(item.app_key)
                        }",unproven,P3,apps/wathefni-dashboard/src/components/ImportCenter.tsx:923,static-control,dashboard,,,,,button
components/JobWorkspace,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: onClose,unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:110,static-control,dashboard,,,,,div
components/JobWorkspace,title,Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: (event) => event.stopPropagation(),unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:111,static-control,dashboard,,,,,div
components/JobWorkspace,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: onEdit,unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:129,static-control,dashboard,,,,,Button
components/JobWorkspace,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: item.action,unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:134,static-control,dashboard,,,,,Button
components/JobWorkspace,t('jobsCloseWorkspace'),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: onClose,unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:138,static-control,dashboard,,,,,Button
components/JobWorkspace,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,Static binding: () => setTab(item.id),unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:146,static-control,dashboard,,,,,button
components/JobWorkspace,(dynamic/unnamed),Invoke declared handler once with feedback and safe repeat-click behavior.,"Static binding: () => onCopy(job.apply_code, 'Application code')",unproven,P3,apps/wathefni-dashboard/src/components/JobWorkspace.tsx:216,static-control,dashboard,,,,,Button
